entity_id,canonical_name,description,aliases_json,aliases_text,domains_json,roles_json,is_turkiye_related
Q11194,Rajvosa,"Sarajevo ( SARR-ə-YAY-voh; Cyrillic: Сарајево, pronounced [sǎrajeʋo] (listen); see names in other languages) is the capital and largest city of Bosnia and Herzegovina, with a population of 275,524 in its administrative limits. The Sarajevo metropolitan area, including Sarajevo Canton, East Sarajevo and nearby municipalities, is home to 555,210 inhabitants. Nestled within the greater Sarajevo valley of Bosnia, it is surrounded by the Dinaric Alps and situated along the Miljacka River in the heart of the Balkans.Sarajevo is the political, financial, social and cultural center of Bosnia and Herzegovina, a prominent center of culture in the Balkans, with its region-wide influence in entertainment, media, fashion, and the arts.Due to its long, rich and prosperous history of religious and cultural diversity, Sarajevo is sometimes called the ""Jerusalem of Europe"" or ""Jerusalem of the Balkans"". It is one of only a few major European cities which have a mosque, Catholic church, Orthodox church and synagogue in the same neighborhood. A regional center in education, the city is home to the Balkans first institution of tertiary education in the form of an Islamic madrasa, today part of the University of Sarajevo.Although settlement in the area stretches back to prehistoric times, the modern city arose as an Ottoman stronghold in the 15th century. Sarajevo has attracted international attention several times throughout its history. In 1885, Sarajevo was the first city in Europe and the second city in the world to have a full-time electric tram network running through the city, following San Francisco. In 1914, it was the site of the assassination of Archduke Franz Ferdinand of Austria by local Young Bosnia activist Gavrilo Princip that sparked World War I, which also ended Austro-Hungarian rule in Bosnia and resulted in the creation of the Kingdom of Yugoslavia. Later, after World War II, the establishment of the Socialist Republic of Bosnia and Herzegovina within the Second Yugoslavia led to a massive expansion of Sarajevo, the constituent republic's capital, which culminated with the hosting of the 1984 Winter Olympics marking a prosperous era for the city. However, after the start of the Yugoslav Wars, for 1,425 days, from April 1992 to February 1996, the city suffered the longest siege of a capital city in the history of modern warfare, during the Bosnian War and the breakup of Yugoslavia.Sarajevo has been undergoing post-war reconstruction, and is the fastest growing city in Bosnia and Herzegovina. The travel guide series Lonely Planet has named Sarajevo as the 43rd best city in the world, and in December 2009 listed Sarajevo as one of the top ten cities to visit in 2010. In 2011, Sarajevo was nominated to be the European Capital of Culture in 2014 and recently hosted the 2019 European Youth Olympic Winter Festival.","[""Rajvosa"", ""metromahala"", ""rajvosa"", ""serajewo"", ""Saraievo"", ""Etymology of the Name of Sarajevo"", ""Serajevo"", ""Bosna-Serai"", ""Etymology of sarajevo"", ""Jerusalem of Europe""]",Rajvosa | metromahala | rajvosa | serajewo | Saraievo | Etymology of the Name of Sarajevo | Serajevo | Bosna-Serai | Etymology of sarajevo | Jerusalem of Europe,"[""cinema"", ""turkiye""]","[""birth_place""]",true
Q11235234,Yu Tokui,"Yu Tokui (徳井 優, Tokui Yū, born 28 September 1959) is a Japanese actor. He has appeared in more than 90 films since 1987.","[""Yu Tokui"", ""yu tokui"", ""徳井優""]",Yu Tokui | yu tokui | 徳井優,"[""cinema"", ""people"", ""turkiye""]","[""cast_member""]",true
Q1134063,大東駿介,"Shunsuke Daito (大東 駿介, Daitō Shunsuke, born March 13, 1986) is a Japanese actor, talent and fashion model. He was born in Sakai, Osaka, Japan. Currently, he is employed by the Top Coat subsidiary of Watanabe Productions.  Since debuting in 2005's Nobuta wo Produce, he has appeared in many Japanese dramas, movies, variety shows and on stage.","[""大東駿介"", ""Shunsuke Daito"", ""shunsuke daitō"", ""shunsuke daito"", ""Shunsuke Daitō""]",大東駿介 | Shunsuke Daito | shunsuke daitō | shunsuke daito | Shunsuke Daitō,"[""cinema"", ""people"", ""turkiye""]","[""cast_member"", ""person_seed""]",true
Q114624,yardim,"Fahri Ogün Yardım (born 4 July 1980) is a German actor of Turkish descent. He is best known for his portrayal of Hüseyin in Almanya – Welcome to Germany and as investigator Yalcin Gümer in the German crime television series Tatort alongside Til Schweiger.In 2013 he had a supporting role in the adventure film The Physician, which became an immediate box-office hit in Germany.","[""yardim"", ""fahri yardim"", ""Fahri Ogün Yardım"", ""fahri ogun yardim"", ""Fahri Yardim"", ""Fahri Ögün Yardim"", ""Fahri Yardım"", ""fahri yardım"", ""Yardim"", ""fahri ogün yardım""]",yardim | fahri yardim | Fahri Ogün Yardım | fahri ogun yardim | Fahri Yardim | Fahri Ögün Yardim | Fahri Yardım | fahri yardım | Yardim | fahri ogün yardım,"[""cinema"", ""people"", ""turkiye""]","[""person_seed""]",true
Q115,ityop'ia,"Ethiopia (; Amharic: ኢትዮጵያ, ʾĪtyōṗṗyā, listen , Tigrinya: ኢትዮጵያ, Oromo: Itoophiyaa, Somali: Itoobiya), officially the Federal Democratic Republic of Ethiopia (የኢትዮጵያ ፌዴራላዊ ዲሞክራሲያዊ ሪፐብሊክ, yeʾĪtiyoṗṗya Fēdēralawī Dēmokirasīyawī Rīpebilīk, listen ), is a country in the northeastern part of Africa, known as the Horn of Africa. It shares borders with Eritrea to the north, Djibouti to the northeast, Somaliland and Somalia to the east, Kenya to the south, South Sudan to the west and Sudan to the northwest. With over 102 million inhabitants, Ethiopia is the most populous landlocked country in the world and the second-most populous nation on the African continent with a total area of 1,100,000 square kilometres (420,000 sq mi). Its capital and largest city is Addis Ababa, which lies a few miles west of the East African Rift that splits the country into the Nubian and Somali tectonic plates.Some of the oldest skeletal evidence for anatomically modern humans has been found in Ethiopia. It is widely considered as the region from which modern humans first set out for the Middle East and places beyond. According to linguists, the first Afroasiatic-speaking populations settled in the Horn region during the ensuing Neolithic era. Tracing its roots to the 2nd millennium BCE, Ethiopia's governmental system was a monarchy for most of its history. Oral literature tells that the monarchy was founded by the Solomonic dynasty of the Queen of Sheba, under its first king, Menelik I. In the first centuries , the Kingdom of Aksum maintained a unified civilization in the region, followed by the Ethiopian Empire circa 1137. During the late 19th-century Scramble for Africa, Ethiopia and Liberia were two nations that preserved their sovereignty from long-term colonisation by a European colonial power and many newly-independent nations on the continent subsequently adopted its flag colours. The country was occupied by Italy in 1936 and became Italian Ethiopia (part of Italian East Africa) until it was liberated during World War II. Ethiopia was also the first independent member from Africa of the 20th-century League of Nations and the United Nations. In 1974, the Ethiopian monarchy under Haile Selassie was overthrown by the Derg, a communist military government backed by the Soviet Union. In 1987, the Derg established the People's Democratic Republic of Ethiopia, but it was overthrown in 1991 by the Ethiopian People's Revolutionary Democratic Front, which has been the ruling political coalition since.Ethiopia and Eritrea use the ancient Ge'ez script, which is one of the oldest alphabets still in use in the world. The Ethiopian calendar, which is approximately seven years and three months behind the Gregorian calendar, co-exists alongside the Borana calendar. A majority of the population adheres to Christianity (mainly the Ethiopian Orthodox Tewahedo Church and P'ent'ay) and the historical Kingdom of Aksum was one of the first states to officially adopt the religion, whereas around a third follows Islam (primarily Sunni). The country is the site of the Migration to Abyssinia and the oldest Muslim settlement in Africa at Negash. A substantial population of Ethiopian Jews, known as Bete Israel, also resided in Ethiopia until the 1980s. Ethiopia is a multilingual nation with around 80 ethnolinguistic groups, the four largest of which are the Oromo, Amhara, Somali and Tigrayans. Most people in the country speak Afroasiatic languages of the Cushitic or Semitic branches. Additionally, Omotic languages are spoken by ethnic minority groups inhabiting the southern regions. Nilo-Saharan languages are also spoken by the nation's Nilotic ethnic minorities. Oromo is the most populous language by native speakers, while Amharic is the most populous by number of total speakers and serves as the working language in the federal government. Ge'ez remains important as a liturgical language, both for the Ethiopian Orthodox Tewahedo Church, Eritrean Orthodox Tewahedo Church, and for the Beta Israel (Ethiopian Jews).The nation is a land of natural contrasts, with its vast fertile west, its forests, and numerous rivers, and the world's hottest settlement of Dallol in its north. The Ethiopian Highlands are the largest continuous mountain ranges in Africa, and the Sof Omar Caves contains the largest cave on the continent. Ethiopia also has the most UNESCO World Heritage Sites in Africa. Additionally, the sovereign state is a founding member of the UN, the Group of 24 (G-24), the Non-Aligned Movement, G-77 and the Organisation of African Unity. Its capital city Addis Ababa serves as the headquarters of the African Union, the Pan African Chamber of Commerce and Industry, the United Nations Economic Commission for Africa, the African Standby Force, and many of the global NGOs focused on Africa. In the 1970s and 1980s, Ethiopia experienced civil conflicts and communist purges, which hindered its economy. The country has since recovered and now has the largest economy (by GDP) in East Africa, having the largest population in the region.","[""ityop'ia"", ""Ityop'ia"", ""Federal Republic of Ethiopia"", ""Ītyōṗṗyā"", ""cat:ethiopia"", ""etymology of ethiopia"", ""Ethiopioa"", ""federal democratic republic of ethiopia"", ""ʾĪtyōṗṗyā"", ""Ityoṗṗya""]",ityop'ia | Ityop'ia | Federal Republic of Ethiopia | Ītyōṗṗyā | cat:ethiopia | etymology of ethiopia | Ethiopioa | federal democratic republic of ethiopia | ʾĪtyōṗṗyā | Ityoṗṗya,"[""cinema"", ""turkiye""]","[""turkey_neighbor""]",true
Q1152,auvergne (region),"Auvergne (, French: [ovɛʁɲ] (listen); Auvergnat: Auvèrnhe / Auvèrnha) is a former administrative region in south-central France, comprising the four departments of Allier, Puy-de-Dôme, Cantal and Haute-Loire. Since 1 January 2016, it has been part of the new region Auvergne-Rhône-Alpes.The administrative region of Auvergne is larger than the historical province of Auvergne, one of the seven counties of Occitania, and includes provinces and areas that historically were not part of Auvergne. The Auvergne region is composed of the following old provinces:Auvergne: departments of Puy-de-Dôme, Cantal, northwest of Haute-Loire, and extreme south of Allier. The province of Auvergne is entirely contained inside the Auvergne regionBourbonnais: department of Allier. A small part of Bourbonnais is also contained inside the Centre-Val de Loire region (south of the department of Cher).Velay: centre and southeast of department of Haute-Loire. Velay is entirely contained inside the Auvergne region.a small part of Gévaudan: extreme southwest of Haute-Loire. Gévaudan is essentially inside the Languedoc-Roussillon region.a small part of Vivarais: extreme southeast of Haute-Loire. Vivarais is essentially inside the Rhône-Alpes region.a small part of Forez: extreme northeast of Haute-Loire. Forez is essentially inside the Rhône-Alpes region.Velay, Gévaudan, and Vivarais are often considered to be sub-provinces of the old province of Languedoc. Forez is also often considered to be a sub-province of Lyonnais. Therefore, the modern region of Auvergne is composed of the provinces of Auvergne, major part of Bourbonnais, and parts of Languedoc and Lyonnais.The region is home to a chain of volcanoes known collectively as the ""chaîne des Puys"". The last confirmed eruption was around 4040 BCE. The volcanoes began forming some 70,000 years ago, and most have eroded, leaving plugs of hardened magma that form rounded hilltops known as puys.","[""auvergne (region)"", ""Auvergne"", ""regional council of auvergne"", ""auvergne (région)"", ""Regional council of Auvergne"", ""auvergne"", ""Auvergne (région)"", ""Auvergne (region)""]",auvergne (region) | Auvergne | regional council of auvergne | auvergne (région) | Regional council of Auvergne | auvergne | Auvergne (région) | Auvergne (region),"[""cinema"", ""turkiye""]","[""birth_place""]",true
Q1218525,Le Grand Voyage,"Le Grand Voyage is a 2004 film written and directed by Ismaël Ferroukhi. The film portrays the relationship between father and son as both embark on  a religious pilgrimage trip by car. The film won the Golden Astor for Best Film at the 2005 Mar del Plata International Film Festival, also was shown at the prestigious 2004 Toronto and Venice International Film Festivals.","[""Le Grand Voyage"", ""Grand Voyage"", ""grand voyage"", ""le grand voyage"", ""Le grand voyage"", ""Le Grand voyage""]",Le Grand Voyage | Grand Voyage | grand voyage | le grand voyage | Le grand voyage | Le Grand voyage,"[""cinema"", ""film"", ""turkiye""]","[""film""]",true
Q122803,Theodosiopolis (Armenia),"Erzurum (Georgian: კარნუ-ქალაქი, Karnu-kalaki; Armenian: Կարին, Karin) is a city in eastern Anatolia (Asian Turkey). It is the largest city in and eponymous capital of Erzurum Province. It is situated 1757 meters (5766 feet) above sea level. Erzurum had a population of 361,235 in the 2000 census, increasing to 367,250 by 2010.As Ancient Theodosiopolis in Armenia (or ""in Cappadocia""), the former bishopric remains a Latin Catholic titular see.The city uses the double-headed Anatolian Seljuk Eagle as its coat-of-arms, a motif that was a common symbol throughout Anatolia and the Balkans in the medieval period.Erzurum has some of the finest winter sports facilities in Turkey and hosted the 2011 Winter Universiade.","[""Theodosiopolis (Armenia)"", ""Qaliqala"", ""erzurum"", ""Erzen ür-Rum"", ""theodosioupolis"", ""erzen ür-rum"", ""teodosiopoli di cappadocia"", ""Erzeroum"", ""erzeroum"", ""arzrum""]",Theodosiopolis (Armenia) | Qaliqala | erzurum | Erzen ür-Rum | theodosioupolis | erzen ür-rum | teodosiopoli di cappadocia | Erzeroum | erzeroum | arzrum,"[""cinema"", ""turkiye""]","[""birth_place""]",true
Q1235258,Dokuz Eylul University,"Dokuz Eylül University (Turkish: Dokuz Eylül Üniversitesi) (DEÜ) is a university in Turkey. It is located in İzmir, Turkey. It was founded in 1982 and is organized in 15 faculties. DEU is the first university which applied the problem-based learning method in Turkey, beginning in the School of Medicine in 1997. Several components of Dokuz Eylül University have attained a goal of continuous development in education, research and practice through the ISO 9001 2000 Quality Management System certificate: Social Sciences Institute and School of Maritime Business and Management (2001), University Presidency (2003) and Medical Faculty and Health Sciences Institute (2004).","[""Dokuz Eylul University"", ""9 Eylul Universitesi"", ""9 eylul universitesi"", ""9 eyluel university"", ""9 Eylul University"", ""Dokuz Eylul Universitesi"", ""9 eyluel universitesi"", ""9 Eyluel University"", ""Dokuz Eyluel University"", ""Dokuz Eyluel Universitesi""]",Dokuz Eylul University | 9 Eylul Universitesi | 9 eylul universitesi | 9 eyluel university | 9 Eylul University | Dokuz Eylul Universitesi | 9 eyluel universitesi | 9 Eyluel University | Dokuz Eyluel University | Dokuz Eyluel Universitesi,"[""cinema"", ""education"", ""turkiye""]","[""education_entity""]",true
Q1255329,simon abkarian,Simon Abkarian (Armenian: Սիմոն Աբգարեան; born 5 March 1962) is an Armenian-French actor.,"[""simon abkarian"", ""Simon Abkarian"", ""abkarian"", ""abkarian, simon"", ""Abkarian"", ""Abkarian, Simon""]","simon abkarian | Simon Abkarian | abkarian | abkarian, simon | Abkarian | Abkarian, Simon","[""cinema"", ""people"", ""turkiye""]","[""cast_member""]",true
Q12560,Ottoman empire,"The Ottoman Empire (; Ottoman Turkish: دولت عليه عثمانیه‎, Devlet-i ʿAlīye-i ʿOsmānīye, literally ""The Exalted Ottoman State""; Modern Turkish: Osmanlı İmparatorluğu or Osmanlı Devleti), historically known to its inhabitants and the Eastern world as Rome (Rûm), and mistakenly known in Western Europe as the Turkish Empire or simply Turkey, was a state that controlled much of Southeast Europe, Western Asia and North Africa between the 14th and early 20th centuries. It was founded at the end of the 13th century in northwestern Anatolia in the town of Söğüt (modern-day Bilecik Province) by the Oghuz Turkish tribal leader Osman I. Although initially the dynasty was of Turkic origin, it was thoroughly Persianised in terms of language, culture, literature and habits. After 1354, the Ottomans crossed into Europe, and with the conquest of the Balkans, the Ottoman beylik was transformed into a transcontinental empire. The Ottomans ended the Byzantine Empire with the 1453 conquest of Constantinople by Mehmed the Conqueror.During the 16th and 17th centuries, at the height of its power under the reign of Suleiman the Magnificent, the Ottoman Empire was a multinational, multilingual empire controlling most of Southeast Europe, parts of Central Europe, Western Asia, parts of Eastern Europe and the Caucasus, North Africa and the Horn of Africa. At the beginning of the 17th century, the empire contained 32 provinces and numerous vassal states. Some of these were later absorbed into the Ottoman Empire, while others were granted various types of autonomy during the course of centuries.With Constantinople as its capital and control of lands around the Mediterranean basin, the Ottoman Empire was at the centre of interactions between the Eastern and Western worlds for six centuries. While the empire was once thought to have entered a period of decline following the death of Suleiman the Magnificent, this view is no longer supported by the majority of academic historians. The empire continued to maintain a flexible and strong economy, society and military throughout the 17th and much of the 18th century. However, during a long period of peace from 1740 to 1768, the Ottoman military system fell behind that of their European rivals, the Habsburg and Russian empires. The Ottomans consequently suffered severe military defeats in the late 18th and early 19th centuries, which prompted them to initiate a comprehensive process of reform and modernisation known as the Tanzimat. Thus, over the course of the 19th century, the Ottoman state became vastly more powerful and organised, despite suffering further territorial losses, especially in the Balkans, where a number of new states emerged. The empire allied with Germany in the early 20th century, hoping to escape from the diplomatic isolation which had contributed to its recent territorial losses, and thus joined World War I on the side of the Central Powers. While the Empire was able to largely hold its own during the conflict, it was struggling with internal dissent, especially with the Arab Revolt in its Arabian holdings. During this time, genocide was committed by the Ottoman government against the Armenians, Assyrians and Pontic Greeks.The Empire's defeat and the occupation of part of its territory by the Allied Powers in the aftermath of World War I resulted in its partitioning and the loss of its Middle Eastern territories, which were divided between the United Kingdom and France. The successful Turkish War of Independence against the occupying Allies led to the emergence of the Republic of Turkey in the Anatolian heartland and the abolition of the Ottoman monarchy.","[""Ottoman empire"", ""Ottoman Sultanate"", ""Aliyye-i Osmâniyye"", ""nizamye courts"", ""history of ottoman empire"", ""Turkish empire"", ""ottomen empire"", ""Osmanic Empire"", ""Nizamye Courts"", ""Ottoman period""]",Ottoman empire | Ottoman Sultanate | Aliyye-i Osmâniyye | nizamye courts | history of ottoman empire | Turkish empire | ottomen empire | Osmanic Empire | Nizamye Courts | Ottoman period,"[""cinema"", ""geography"", ""turkiye""]","[""birth_place"", ""country""]",true
Q1259496,Halit Ergenc,Halit Ergenç (Turkish pronunciation: [haˈlit æɾˈɟentʃ]; born 30 April 1970) is a Turkish actor.,"[""Halit Ergenc"", ""Halit Ergenç"", ""ergenç"", ""halit ergenc"", ""halit ergenç"", ""Ergenç""]",Halit Ergenc | Halit Ergenç | ergenç | halit ergenc | halit ergenç | Ergenç,"[""cinema"", ""people"", ""turkiye""]","[""cast_member""]",true
Q1261822,"IX-th Belgrade Gymnasioum ""Mihailo Petrović-Alas""","The IX Gymnasium ""Mihailo Petrović-Alas"" (Serbian: Deveta gimnazija ""Mihailo Petrović-Alas; Девета гимназија ""Михајло Петровић-Алас"") is a gymnasium located in New Belgrade, Serbia, established in 1961, and named after the Serbian mathematician Mihailo Petrović-Alas.","[""IX-th Belgrade Gymnasioum \""Mihailo Petrović-Alas\"""", ""IX-th Belgrade Gymnasium \""Mihailo Petrović-Alas\"""", ""ix-th belgrade gymnasioum \""mihailo petrovic-alas\"""", ""ix-th belgrade gymnasioum \""mihailo petrović-alas\"""", ""ninth belgrade gymnasium"", ""IX-th Belgrade Gymnasium \""Mihailo Petrovic-Alas\"""", ""IX-th Belgrade Gymnasioum \""Mihailo Petrovic-Alas\"""", ""ix-th belgrade gymnasium \""mihailo petrovic-alas\"""", ""Ninth Belgrade Gymnasium"", ""ix-th belgrade gymnasium \""mihailo petrović-alas\""""]","IX-th Belgrade Gymnasioum ""Mihailo Petrović-Alas"" | IX-th Belgrade Gymnasium ""Mihailo Petrović-Alas"" | ix-th belgrade gymnasioum ""mihailo petrovic-alas"" | ix-th belgrade gymnasioum ""mihailo petrović-alas"" | ninth belgrade gymnasium | IX-th Belgrade Gymnasium ""Mihailo Petrovic-Alas"" | IX-th Belgrade Gymnasioum ""Mihailo Petrovic-Alas"" | ix-th belgrade gymnasium ""mihailo petrovic-alas"" | Ninth Belgrade Gymnasium | ix-th belgrade gymnasium ""mihailo petrović-alas""","[""cinema"", ""education"", ""turkiye""]","[""education_entity""]",true
